,word,root,suffixes
936,geziler,gezi,ler
937,gezide,gezi,de
938,geziden,gezi,den
939,gezim,gezi,m
940,gezimde,gezi,m de
941,gezilerim,gezi,ler im
942,gezilerimde,gezi,ler im de
943,tatil,tatil,
944,tatiller,tatil,ler
945,tatilde,tatil,de
946,tatilden,tatil,den
947,tatilim,tatil,im
948,tatilimde,tatil,im de
949,tatillerim,tatil,ler im
950,tatillerimde,tatil,ler im de
951,seyahat,seyahat,
952,seyahatler,seyahat,ler
953,seyahatte,seyahat,te
954,seyahatten,seyahat,ten
955,seyahatım,seyahat,ım
956,seyahatımda,seyahat,ım da
957,seyahatlerim,seyahat,ler im
958,seyahatlerimde,seyahat,ler im de
959,turizm,turizm,
960,turizmler,turizm,ler
961,turizmde,turizm,de
962,turizmden,turizm,den
963,turizmim,turizm,im
964,turizmimde,turizm,im de
965,turizmlerim,turizm,ler im
966,turizmlerimde,turizm,ler im de
967,otel,otel,
968,oteller,otel,ler
969,otelde,otel,de
970,otelden,otel,den
971,otelim,otel,im
972,otelimde,otel,im de
973,otellerim,otel,ler im
974,otellerimde,otel,ler im de
975,pansiyon,pansiyon,
976,pansiyonlar,pansiyon,lar
977,pansiyonda,pansiyon,da
978,pansiyondan,pansiyon,dan
979,pansiyonum,pansiyon,um
980,pansiyonumda,pansiyon,um da
981,pansiyonlarım,pansiyon,lar ım
982,pansiyonlarımda,pansiyon,lar ım da
983,villa,villa,
984,villalar,villa,lar
985,villada,villa,da
986,villadan,villa,dan
987,villam,villa,m
988,villamda,villa,m da
989,villalarım,villa,lar ım
990,villalarımda,villa,lar ım da
991,apartman,apartman,
992,apartmanlar,apartman,lar
993,apartmanda,apartman,da
994,apartmandan,apartman,dan
995,apartmanım,apartman,ım
996,apartmanımda,apartman,ım da
997,apartmanlarım,apartman,lar ım
998,apartmanlarımda,apartman,lar ım da
999,oda,oda,
1000,odalar,oda,lar
1001,odada,oda,da
1002,odadan,oda,dan
1003,odam,oda,m
1004,odamda,oda,m da
1005,odalarım,oda,lar ım
1006,odalarımda,oda,lar ım da
1007,mutfak,mutfak,
1008,mutfaklar,mutfak,lar
1009,mutfakta,mutfak,ta
1010,mutfaktan,mutfak,tan
1011,mutfağım,mutfak,ım
1012,mutfağımda,mutfak,ım da
1013,mutfaklarım,mutfak,lar ım
1014,mutfaklarımda,mutfak,lar ım da
1015,banyo,banyo,
1016,banyolar,banyo,lar
1017,banyoda,banyo,da
1018,banyodan,banyo,dan
1019,banyom,banyo,m
1020,banyomda,banyo,m da
1021,banyolarım,banyo,lar ım
1022,banyolarımda,banyo,lar ım da
1023,tuvalet,tuvalet,
1024,tuvaletler,tuvalet,ler
1025,tuvalette,tuvalet,te
1026,tuvaletten,tuvalet,ten
1027,tuvaletim,tuvalet,im
1028,tuvaletimde,tuvalet,im de
1029,tuvaletlerim,tuvalet,ler im
1030,tuvaletlerimde,tuvalet,ler im de
1031,koridor,koridor,
1032,koridorlar,koridor,lar
1033,koridorda,koridor,da
1034,koridordan,koridor,dan
1035,koridorım,koridor,ım
1036,koridorımda,koridor,ım da
1037,koridorlarım,koridor,lar ım
1038,koridorlarımda,koridor,lar ım da
1039,salon,salon,
1040,salonlar,salon,lar
1041,salonda,salon,da
1042,salondan,salon,dan
1043,salonum,salon,um
1044,salonumda,salon,um da
1045,salonlarım,salon,lar ım
1046,salonlarımda,salon,lar ım da
1047,yatak,yatak,
1048,yataklar,yatak,lar
1049,yatakta,yatak,ta
1050,yataktan,yatak,tan
1051,yatağım,yatak,ım
1052,yatağımda,yatak,ım da
1053,yataklarım,yatak,lar ım
1054,yataklarımda,yatak,lar ım da
1055,dolap,dolap,
1056,dolaplar,dolap,lar
1057,dolapta,dolap,ta
1058,dolaptan,dolap,tan
1059,dolabım,dolap,ım
1060,dolabımda,dolap,ım da
1061,dolaplarım,dolap,lar ım
1062,dolaplarımda,dolap,lar ım da
1063,raf,raf,
1064,raflar,raf,lar
1065,rafta,raf,ta
1066,raftan,raf,tan
1067,rafım,raf,ım
1068,rafımda,raf,ım da
1069,raflarım,raf,lar ım
1070,raflarımda,raf,lar ım da
1071,çekmece,çekmece,
1072,çekmeceler,çekmece,ler
1073,çekmecede,çekmece,de
1074,çekmeceden,çekmece,den
1075,çekmecem,çekmece,m
1076,çekmecemde,çekmece,m de
1077,çekmecelerim,çekmece,ler im
1078,çekmecelerimde,çekmece,ler im de
1079,kutu,kutu,
1080,kutular,kutu,lar
1081,kutuda,kutu,da
1082,kutudan,kutu,dan
1083,kutum,kutu,um
1084,kutumda,kutu,um da
1085,kutularım,kutu,lar ım
1086,kutularımda,kutu,lar ım da
1087,kasa,kasa,
1088,kasalar,kasa,lar
1089,kasada,kasa,da
1090,kasadan,kasa,dan
1091,kasam,kasa,m
1092,kasamda,kasa,m da
1093,kasalarım,kasa,lar ım
1094,kasalarımda,kasa,lar ım da
1095,kilit,kilit,
1096,kilitler,kilit,ler
1097,kilitte,kilit,te
1098,kilitten,kilit,ten
1099,kilidim,kilit,im
1100,kilidimde,kilit,im de
1101,kilitlerim,kilit,ler im
1102,kilitlerimde,kilit,ler im de
1103,anahtar,anahtar,
1104,anahtarlar,anahtar,lar
1105,anahtarda,anahtar,da
1106,anahtardan,anahtar,dan
1107,anahtarım,anahtar,ım
1108,anahtarımda,anahtar,ım da
1109,anahtarlarım,anahtar,lar ım
1110,anahtarlarımda,anahtar,lar ım da
1111,gözlük,gözlük,
1112,gözlükler,gözlük,ler
1113,gözlükte,gözlük,te
1114,gözlükten,gözlük,ten
1115,gözlüğüm,gözlük,üm
1116,gözlüğümde,gözlük,üm de
1117,gözlüklerim,gözlük,ler im
1118,gözlüklerimde,gözlük,ler im de
1119,cüzdan,cüzdan,
1120,cüzdanlar,cüzdan,lar
1121,cüzdanda,cüzdan,da
1122,cüzdandan,cüzdan,dan
1123,cüzdanım,cüzdan,ım
1124,cüzdanımda,cüzdan,ım da
1125,cüzdanlarım,cüzdan,lar ım
1126,cüzdanlarımda,cüzdan,lar ım da
1127,kemer,kemer,
1128,kemerler,kemer,ler
1129,kemerde,kemer,de
1130,kemerden,kemer,den
1131,kemerim,kemer,im
1132,kemerimde,kemer,im de
1133,kemerlerim,kemer,ler im
1134,kemerlerimde,kemer,ler im de
1135,kravat,kravat,
1136,kravatlar,kravat,lar
1137,kravatta,kravat,ta
1138,kravattan,kravat,tan
1139,kravatım,kravat,ım
1140,kravatımda,kravat,ım da
1141,kravatlarım,kravat,lar ım
1142,kravatlarımda,kravat,lar ım da
1143,eldiven,eldiven,
1144,eldivenler,eldiven,ler
1145,eldivende,eldiven,de
1146,eldivenden,eldiven,den
1147,eldivenim,eldiven,im
1148,eldivenimde,eldiven,im de
1149,eldivenlerim,eldiven,ler im
1150,eldivenlerimde,eldiven,ler im de
1151,şal,şal,
1152,şallar,şal,lar
1153,şalda,şal,da
1154,şaldan,şal,dan
1155,şalım,şal,ım
1156,şalımda,şal,ım da
1157,şallarım,şal,lar ım
1158,şallarımda,şal,lar ım da
1159,fular,fular,
1160,fularlar,fular,lar
1161,fularda,fular,da
1162,fulardan,fular,dan
1163,fularım,fular,ım
1164,fularımda,fular,ım da
1165,fularlarım,fular,lar ım
1166,fularlarımda,fular,lar ım da
1167,kolye,kolye,
1168,kolyeler,kolye,ler
1169,kolyede,kolye,de
1170,kolyeden,kolye,den
1171,kolyem,kolye,m
1172,kolyemde,kolye,m de
1173,kolyelerim,kolye,ler im
1174,kolyelerimde,kolye,ler im de
1175,yüzük,yüzük,
1176,yüzükler,yüzük,ler
1177,yüzükte,yüzük,te
1178,yüzükten,yüzük,ten
1179,yüzüğüm,yüzük,üm
1180,yüzüğümde,yüzük,üm de
1181,yüzüklerim,yüzük,ler im
1182,yüzüklerimde,yüzük,ler im de
1183,küpe,küpe,
1184,küpeler,küpe,ler
1185,küpede,küpe,de
1186,küpeden,küpe,den
1187,küpem,küpe,m
1188,küpemde,küpe,m de
1189,küpelerim,küpe,ler im
1190,küpelerimde,küpe,ler im de
1191,bilezik,bilezik,
1192,bilezikler,bilezik,ler
1193,bilezikte,bilezik,te
1194,bilezikten,bilezik,ten
1195,bileziğim,bilezik,im
1196,bileziğimde,bilezik,im de
1197,bileziklerim,bilezik,ler im
1198,bileziklerimde,bilezik,ler im de
1199,klavye,klavye,
1200,klavyeler,klavye,ler
1201,klavyede,klavye,de
1202,klavyeden,klavye,den
1203,klavyem,klavye,m
1204,klavyemde,klavye,m de
1205,klavyelerim,klavye,ler im
1206,klavyelerimde,klavye,ler im de
1207,fare,fare,
1208,fareler,fare,ler
1209,fareda,fare,da
1210,fareden,fare,den
1211,farem,fare,m
1212,faremde,fare,m de
1213,farelerim,fare,ler im
1214,farelerimde,fare,ler im de
1215,monitör,monitör,
1216,monitörler,monitör,ler
1217,monitörde,monitör,de
1218,monitörden,monitör,den
1219,monitörüm,monitör,üm
1220,monitörümde,monitör,üm de
1221,monitörlerim,monitör,ler im
1222,monitörlerimde,monitör,ler im de
1223,yazıcı,yazıcı,
1224,yazıcılar,yazıcı,lar
1225,yazıcıda,yazıcı,da
1226,yazıcıdan,yazıcı,dan
1227,yazıcım,yazıcı,m
1228,yazıcımda,yazıcı,m da
1229,yazıcılarım,yazıcı,lar ım
1230,yazıcılarımda,yazıcı,lar ım da
1231,tarayıcı,tarayıcı,
1232,tarayıcılar,tarayıcı,lar
1233,tarayıcıda,tarayıcı,da
1234,tarayıcıdan,tarayıcı,dan
1235,tarayıcım,tarayıcı,m
1236,tarayıcımda,tarayıcı,m da
1237,tarayıcılarım,tarayıcı,lar ım
1238,tarayıcılarımda,tarayıcı,lar ım da
1239,hoparlör,hoparlör,
1240,hoparlörler,hoparlör,ler
1241,hoparlörde,hoparlör,de
1242,hoparlörden,hoparlör,den
1243,hoparlörüm,hoparlör,üm
1244,hoparlörümde,hoparlör,üm de
1245,hoparlörlerim,hoparlör,ler im
1246,hoparlörlerimde,hoparlör,ler im de
1247,kulaklık,kulaklık,
1248,kulaklıklar,kulaklık,lar
1249,kulaklıkta,kulaklık,ta
1250,kulaklıktan,kulaklık,tan
1251,kulaklığım,kulaklık,ım
1252,kulaklığımda,kulaklık,ım da
1253,kulaklıklarım,kulaklık,lar ım
1254,kulaklıklarımda,kulaklık,lar ım da
1255,mikrofon,mikrofon,
1256,mikrofonlar,mikrofon,lar
1257,mikrofonda,mikrofon,da
1258,mikrofondan,mikrofon,dan
1259,mikrofonum,mikrofon,um
1260,mikrofonumda,mikrofon,um da
1261,mikrofonlarım,mikrofon,lar ım
1262,mikrofonlarımda,mikrofon,lar ım da
1263,kamera,kamera,
1264,kameralar,kamera,lar
1265,kamerada,kamera,da
1266,kameradan,kamera,dan
1267,kameram,kamera,m
1268,kameramda,kamera,m da
1269,kameralarım,kamera,lar ım
1270,kameralarımda,kamera,lar ım da
1271,video,video,
1272,videolar,video,lar
1273,videoda,video,da
1274,videodan,video,dan
1275,videom,video,m
1276,videomda,video,m da
1277,videolarım,video,lar ım
1278,videolarımda,video,lar ım da
1279,fotoğraf,fotoğraf,
1280,fotoğraflar,fotoğraf,lar
1281,fotoğrafta,fotoğraf,ta
1282,fotoğraftan,fotoğraf,tan
1283,fotoğrafım,fotoğraf,ım
1284,fotoğrafımda,fotoğraf,ım da
1285,fotoğraflarım,fotoğraf,lar ım
1286,fotoğraflarımda,fotoğraf,lar ım da
1287,albüm,albüm,
1288,albümler,albüm,ler
1289,albümde,albüm,de
1290,albümden,albüm,den
1291,albümüm,albüm,üm
1292,albümümde,albüm,üm de
1293,albümlerim,albüm,ler im
1294,albümlerimde,albüm,ler im de
1295,çerçeve,çerçeve,
1296,çerçeveler,çerçeve,ler
1297,çerçevede,çerçeve,de
1298,çerçeveden,çerçeve,den
1299,çerçevem,çerçeve,m
1300,çerçevemde,çerçeve,m de
1301,çerçevelerim,çerçeve,ler im
1302,çerçevelerimde,çerçeve,ler im de
1303,tablo,tablo,
1304,tablolar,tablo,lar
1305,tabloda,tablo,da
1306,tablodan,tablo,dan
1307,tablom,tablo,m
1308,tablomda,tablo,m da
1309,tablolarım,tablo,lar ım
1310,tablolarımda,tablo,lar ım da
1311,heykel,heykel,
1312,heykeller,heykel,ler
1313,heykelde,heykel,de
1314,heykelden,heykel,den
1315,heykelim,heykel,im
1316,heykelimde,heykel,im de
1317,heykellerim,heykel,ler im
1318,heykellerimde,heykel,ler im de
1319,vazo,vazo,
1320,vazolar,vazo,lar
1321,vazoda,vazo,da
1322,vazodan,vazo,dan
1323,vazom,vazo,m
1324,vazomda,vazo,m da
1325,vazolarım,vazo,lar ım
1326,vazolarımda,vazo,lar ım da
1327,çiçek,çiçek,
1328,çiçekler,çiçek,ler
1329,çiçekte,çiçek,te
1330,çiçekten,çiçek,ten
1331,çiçeğim,çiçek,im
1332,çiçeğimde,çiçek,im de
1333,çiçeklerim,çiçek,ler im
1334,çiçeklerimde,çiçek,ler im de
1335,bitki,bitki,
1336,bitkiler,bitki,ler
1337,bitkide,bitki,de
1338,bitkiden,bitki,den
1339,bitkim,bitki,m
1340,bitkimde,bitki,m de
1341,bitkilerim,bitki,ler im
1342,bitkilerimde,bitki,ler im de
1343,ağaç,ağaç,
1344,ağaçlar,ağaç,lar
1345,ağaçta,ağaç,ta
1346,ağaçtan,ağaç,tan
1347,ağacım,ağaç,ım
1348,ağacımda,ağaç,ım da
1349,ağaçlarım,ağaç,lar ım
1350,ağaçlarımda,ağaç,lar ım da
1351,çimen,çimen,
1352,çimenler,çimen,ler
1353,çimende,çimen,de
1354,çimenden,çimen,den
1355,çimenim,çimen,im
1356,çimenimde,çimen,im de
1357,çimenlerim,çimen,ler im
1358,çimenlerimde,çimen,ler im de
1359,toprak,toprak,
1360,topraklar,toprak,lar
1361,toprakta,toprak,ta
1362,topraktan,toprak,tan
1363,toprağım,toprak,ım
1364,toprağımda,toprak,ım da
1365,topraklarım,toprak,lar ım
1366,topraklarımda,toprak,lar ım da
1367,kum,kum,
1368,kumlar,kum,lar
1369,kumda,kum,da
1370,kumdan,kum,dan
1371,kumum,kum,um
1372,kumumda,kum,um da
1373,kumlarım,kum,lar ım
1374,kumlarımda,kum,lar ım da
1375,taş,taş,
1376,taşlar,taş,lar
1377,taşta,taş,ta
1378,taştan,taş,tan
1379,taşım,taş,ım
1380,taşımda,taş,ım da
1381,taşlarım,taş,lar ım
1382,taşlarımda,taş,lar ım da
1383,kaya,kaya,
1384,kayalar,kaya,lar
1385,kayada,kaya,da
1386,kayadan,kaya,dan
1387,kayam,kaya,m
1388,kayamda,kaya,m da
1389,kayalarım,kaya,lar ım
1390,kayalarımda,kaya,lar ım da
1391,maden,maden,
1392,madenler,maden,ler
1393,maden de,maden,de
1394,maden den,maden,den
1395,madenim,maden,im
1396,madenimde,maden,im de
1397,madenlerim,maden,ler im
1398,madenlerimde,maden,ler im de
1399,altın,altın,
1400,altınlar,altın,lar
1401,altında,altın,da
1402,altından,altın,dan
1403,altınım,altın,ım
1404,altınımda,altın,ım da
1405,altınlarım,altın,lar ım
1406,altınlarımda,altın,lar ım da
1407,gümüş,gümüş,
1408,gümüşler,gümüş,ler
1409,gümüşte,gümüş,te
1410,gümüşten,gümüş,ten
1411,gümüşüm,gümüş,üm
1412,gümüşümde,gümüş,üm de
1413,gümüşlerim,gümüş,ler im
1414,gümüşlerimde,gümüş,ler im de
1415,bronz,bronz,
1416,bronzlar,bronz,lar
1417,bronzda,bronz,da
1418,bronzdan,bronz,dan
1419,bronzum,bronz,um
1420,bronzumda,bronz,um da
1421,bronzlarım,bronz,lar ım
1422,bronzlarımda,bronz,lar ım da
1423,demir,demir,
1424,demirler,demir,ler
1425,demirde,demir,de
1426,demirden,demir,den
1427,demirim,demir,im
1428,demirimde,demir,im de
1429,demirlerim,demir,ler im
1430,demirlerimde,demir,ler im de
1431,çelik,çelik,
1432,çelikler,çelik,ler
1433,çelikte,çelik,te
1434,çelikten,çelik,ten
1435,çeliğim,çelik,im
1436,çeliğimde,çelik,im de
1437,çeliklerim,çelik,ler im
1438,çeliklerimde,çelik,ler im de
1439,alüminyum,alüminyum,
1440,alüminyumlar,alüminyum,lar
1441,alüminyumda,alüminyum,da
1442,alüminyumdan,alüminyum,dan
1443,alüminyumum,alüminyum,um
1444,alüminyumumda,alüminyum,um da
1445,alüminyumlarım,alüminyum,lar ım
1446,alüminyumlarımda,alüminyum,lar ım da
1447,plastik,plastik,
1448,plastikler,plastik,ler
1449,plastikte,plastik,te
1450,plastikten,plastik,ten
1451,plastiğim,plastik,im
1452,plastiğimde,plastik,im de
1453,plastiklerim,plastik,ler im
1454,plastiklerimde,plastik,ler im de
1455,cam,cam,
1456,camlar,cam,lar
1457,camda,cam,da
1458,camdan,cam,dan
1459,camım,cam,ım
1460,camımda,cam,ım da
1461,camlarım,cam,lar ım
1462,camlarımda,cam,lar ım da
1463,seramik,seramik,
1464,seramikler,seramik,ler
1465,seramikte,seramik,te
1466,seramikten,seramik,ten
1467,seramiğim,seramik,im
1468,seramiğimde,seramik,im de
1469,seramiklerim,seramik,ler im
1470,seramiklerimde,seramik,ler im de
1471,ahşap,ahşap,
1472,ahşaplar,ahşap,lar
1473,ahşapta,ahşap,ta
1474,ahşaptan,ahşap,tan
1475,ahşabım,ahşap,ım
1476,ahşabımda,ahşap,ım da
1477,ahşaplarım,ahşap,lar ım
1478,ahşaplarımda,ahşap,lar ım da
1479,deri,deri,
1480,deriler,deri,ler
1481,deride,deri,de
1482,deriden,deri,den
1483,derim,deri,m
1484,derimde,deri,m de
1485,derilerim,deri,ler im
1486,derilerimde,deri,ler im de
1487,kumaş,kumaş,
1488,kumaşlar,kumaş,lar
1489,kumaşta,kumaş,ta
1490,kumaştan,kumaş,tan
1491,kumaşım,kumaş,ım
1492,kumaşımda,kumaş,ım da
1493,kumaşlarım,kumaş,lar ım
1494,kumaşlarımda,kumaş,lar ım da
1495,pamuk,pamuk,
1496,pamuklar,pamuk,lar
1497,pamukta,pamuk,ta
1498,pamuktan,pamuk,tan
1499,pamuğum,pamuk,um
1500,pamuğumda,pamuk,um da
1501,pamuklarım,pamuk,lar ım
1502,pamuklarımda,pamuk,lar ım da
1503,yün,yün,
1504,yünler,yün,ler
1505,yünde,yün,de
1506,yünden,yün,den
1507,yünüm,yün,üm
1508,yünümde,yün,üm de
1509,yünlerim,yün,ler im
1510,yünlerimde,yün,ler im de
1511,ipek,ipek,
1512,ipekler,ipek,ler
1513,ipekte,ipek,te
1514,ipekten,ipek,ten
1515,ipeğim,ipek,im
1516,ipeğimde,ipek,im de
1517,ipeklerim,ipek,ler im
1518,ipeklerimde,ipek,ler im de
1519,keten,keten,
1520,ketenler,keten,ler
1521,ketende,keten,de
1522,ketenden,keten,den
1523,ketenim,keten,im
1524,ketenimde,keten,im de
1525,ketenlerim,keten,ler im
1526,ketenlerimde,keten,ler im de
1527,naylon,naylon,
1528,naylonlar,naylon,lar
1529,naylonda,naylon,da
1530,naylondan,naylon,dan
1531,naylonum,naylon,um
1532,naylonumda,naylon,um da
1533,naylonlarım,naylon,lar ım
1534,naylonlarımda,naylon,lar ım da
1535,karton,karton,
1536,kartonlar,karton,lar
1537,kartonda,karton,da
1538,kartondan,karton,dan
1539,kartonum,karton,um
1540,kartonumda,karton,um da
1541,kartonlarım,karton,lar ım
1542,kartonlarımda,karton,lar ım da
1543,mukavva,mukavva,
1544,mukavvalar,mukavva,lar
1545,mukavvada,mukavva,da
1546,mukavvadan,mukavva,dan
1547,mukavvam,mukavva,m
1548,mukavvamda,mukavva,m da
1549,mukavvalarım,mukavva,lar ım
1550,mukavvalarımda,mukavva,lar ım da
1551,beton,beton,
1552,betonlar,beton,lar
1553,betonda,beton,da
1554,betondan,beton,dan
1555,betonum,beton,um
1556,betonumda,beton,um da
1557,betonlarım,beton,lar ım
1558,betonlarımda,beton,lar ım da
1559,çimento,çimento,
1560,çimentolar,çimento,lar
1561,çimentoda,çimento,da
1562,çimentodan,çimento,dan
1563,çimentom,çimento,m
1564,çimentomda,çimento,m da
1565,çimentolarım,çimento,lar ım
1566,çimentolarımda,çimento,lar ım da
1567,kireç,kireç,
1568,kireçler,kireç,ler
1569,kireçte,kireç,te
1570,kireçten,kireç,ten
1571,kirecim,kireç,im
1572,kirecimde,kireç,im de
1573,kireçlerim,kireç,ler im
1574,kireçlerimde,kireç,ler im de
1575,sıva,sıva,
1576,sıvalar,sıva,lar
1577,sıvada,sıva,da
1578,sıvadan,sıva,dan
1579,sıvam,sıva,m
1580,sıvamda,sıva,m da
1581,sıvalarım,sıva,lar ım
1582,sıvalarımda,sıva,lar ım da
1583,boya,boya,
1584,boyalar,boya,lar
1585,boyada,boya,da
1586,boyadan,boya,dan
1587,boyam,boya,m
1588,boyamda,boya,m da
1589,boyalarım,boya,lar ım
1590,boyalarımda,boya,lar ım da
1591,vernik,vernik,
1592,vernikler,vernik,ler
1593,vernikte,vernik,te
1594,vernikten,vernik,ten
1595,verniğim,vernik,im
1596,verniğimde,vernik,im de
1597,verniklerim,vernik,ler im
1598,verniklerimde,vernik,ler im de
1599,cila,cila,
1600,cilalar,cila,lar
1601,cilada,cila,da
1602,ciladan,cila,dan
1603,cilam,cila,m
1604,cilamda,cila,m da
1605,cilalarım,cila,lar ım
1606,cilalarımda,cila,lar ım da
1607,macun,macun,
1608,macunlar,macun,lar
1609,macunda,macun,da
1610,macundan,macun,dan
1611,macunum,macun,um
1612,macunumda,macun,um da
1613,macunlarım,macun,lar ım
1614,macunlarımda,macun,lar ım da
1615,tutkal,tutkal,
1616,tutkallar,tutkal,lar
1617,tutkalda,tutkal,da
1618,tutkaldan,tutkal,dan
1619,tutkalım,tutkal,ım
1620,tutkalımda,tutkal,ım da
1621,tutkallarım,tutkal,lar ım
1622,tutkallarımda,tutkal,lar ım da
1623,çivi,çivi,
1624,çiviler,çivi,ler
1625,çivide,çivi,de
1626,çividen,çivi,den
1627,çivim,çivi,m
1628,çivimde,çivi,m de
1629,çivilerim,çivi,ler im
1630,çivilerimde,çivi,ler im de
1631,vida,vida,
1632,vidalar,vida,lar
1633,vidada,vida,da
1634,vidadan,vida,dan
1635,vidam,vida,m
1636,vidamda,vida,m da
1637,vidalarım,vida,lar ım
1638,vidalarımda,vida,lar ım da
1639,cıvata,cıvata,
1640,cıvatalar,cıvata,lar
1641,cıvatada,cıvata,da
1642,cıvatadan,cıvata,dan
1643,cıvatam,cıvata,m
1644,cıvatamda,cıvata,m da
1645,cıvatalarım,cıvata,lar ım
1646,cıvatalarımda,cıvata,lar ım da
1647,somun,somun,
1648,somunlar,somun,lar
1649,somunda,somun,da
1650,somundan,somun,dan
1651,somunum,somun,um
1652,somunumda,somun,um da
1653,somunlarım,somun,lar ım
1654,somunlarımda,somun,lar ım da
1655,tornavida,tornavida,
1656,tornavidalar,tornavida,lar
1657,tornavidada,tornavida,da
1658,tornavidadan,tornavida,dan
1659,tornavidam,tornavida,m
1660,tornavidamda,tornavida,m da
1661,tornavidalarım,tornavida,lar ım
1662,tornavidalarımda,tornavida,lar ım da
1663,çekiç,çekiç,
1664,çekiçler,çekiç,ler
1665,çekiçte,çekiç,te
1666,çekiçten,çekiç,ten
1667,çekicim,çekiç,im
1668,çekicimde,çekiç,im de
1669,çekiçlerim,çekiç,ler im
1670,çekiçlerimde,çekiç,ler im de
1671,testere,testere,
1672,testereler,testere,ler
1673,testerede,testere,de
1674,testereden,testere,den
1675,testerem,testere,m
1676,testeremde,testere,m de
1677,testerelerim,testere,ler im
1678,testerelerimde,testere,ler im de
1679,matkap,matkap,
1680,matkaplar,matkap,lar
1681,matkapta,matkap,ta
1682,matkaptan,matkap,tan
1683,matkabım,matkap,ım
1684,matkabımda,matkap,ım da
1685,matkaplarım,matkap,lar ım
1686,matkaplarımda,matkap,lar ım da
1687,pense,pense,
1688,penseler,pense,ler
1689,pensede,pense,de
1690,penseden,pense,den
1691,pensem,pense,m
1692,pensemde,pense,m de
1693,penselerim,pense,ler im
1694,penselerimde,pense,ler im de
1695,kerpeten,kerpeten,
1696,kerpetenler,kerpeten,ler
1697,kerpetende,kerpeten,de
1698,kerpetenden,kerpeten,den
1699,kerpetenim,kerpeten,im
1700,kerpetenimde,kerpeten,im de
1701,kerpetenlerim,kerpeten,ler im
1702,kerpetenlerimde,kerpeten,ler im de
1703,makas,makas,
1704,makaslar,makas,lar
1705,makasta,makas,ta
1706,makastan,makas,tan
1707,makasım,makas,ım
1708,makasımda,makas,ım da
1709,makaslarım,makas,lar ım
1710,makaslarımda,makas,lar ım da
1711,bıçak,bıçak,
1712,bıçaklar,bıçak,lar
1713,bıçakta,bıçak,ta
1714,bıçaktan,bıçak,tan
1715,bıçağım,bıçak,ım
1716,bıçağımda,bıçak,ım da
1717,bıçaklarım,bıçak,lar ım
1718,bıçaklarımda,bıçak,lar ım da
1719,kaşık,kaşık,
1720,kaşıklar,kaşık,lar
1721,kaşıkta,kaşık,ta
1722,kaşıktan,kaşık,tan
1723,kaşığım,kaşık,ım
1724,kaşığımda,kaşık,ım da
1725,kaşıklarım,kaşık,lar ım
1726,kaşıklarımda,kaşık,lar ım da
1727,çatal,çatal,
1728,çatallar,çatal,lar
1729,çatalda,çatal,da
1730,çataldan,çatal,dan
1731,çatalım,çatal,ım
1732,çatalımda,çatal,ım da
1733,çatallarım,çatal,lar ım
1734,çatallarımda,çatal,lar ım da
1735,tabak,tabak,
1736,tabaklar,tabak,lar
1737,tabakta,tabak,ta
1738,tabaktan,tabak,tan
1739,tabağım,tabak,ım
1740,tabağımda,tabak,ım da
1741,tabaklarım,tabak,lar ım
1742,tabaklarımda,tabak,lar ım da
1743,bardak,bardak,
1744,bardaklar,bardak,lar
1745,bardakta,bardak,ta
1746,bardaktan,bardak,tan
1747,bardağım,bardak,ım
1748,bardağımda,bardak,ım da
1749,bardaklarım,bardak,lar ım
1750,bardaklarımda,bardak,lar ım da
1751,fincan,fincan,
1752,fincanlar,fincan,lar
1753,fincanda,fincan,da
1754,fincandan,fincan,dan
1755,fincanım,fincan,ım
1756,fincanımda,fincan,ım da
1757,fincanlarım,fincan,lar ım
1758,fincanlarımda,fincan,lar ım da
1759,kase,kase,
1760,kaseler,kase,ler
1761,kasede,kase,de
1762,kaseden,kase,den
1763,kasem,kase,m
1764,kasemde,kase,m de
1765,kaselerim,kase,ler im
1766,kaselerimde,kase,ler im de
1767,tencere,tencere,
1768,tencereler,tencere,ler
1769,tencerede,tencere,de
1770,tencereden,tencere,den
1771,tencerem,tencere,m
1772,tenceremde,tencere,m de
1773,tencerelerim,tencere,ler im
1774,tencerelerimde,tencere,ler im de
1775,tava,tava,
1776,tavalar,tava,lar
1777,tavada,tava,da
1778,tavadan,tava,dan
1779,tavam,tava,m
1780,tavamda,tava,m da
1781,tavalarım,tava,lar ım
1782,tavalarımda,tava,lar ım da
1783,çaydanlık,çaydanlık,
1784,çaydanlıklar,çaydanlık,lar
1785,çaydanlıkta,çaydanlık,ta
1786,çaydanlıktan,çaydanlık,tan
1787,çaydanlığım,çaydanlık,ım
1788,çaydanlığımda,çaydanlık,ım da
1789,çaydanlıklarım,çaydanlık,lar ım
1790,çaydanlıklarımda,çaydanlık,lar ım da
1791,kahve,kahve,
1792,kahveler,kahve,ler
1793,kahvede,kahve,de
1794,kahveden,kahve,den
1795,kahvem,kahve,m
1796,kahvemde,kahve,m de
1797,kahvelerim,kahve,ler im
1798,kahvelerimde,kahve,ler im de
1799,çay,çay,
1800,çaylar,çay,lar
1801,çayda,çay,da
1802,çaydan,çay,dan
1803,çayım,çay,ım
1804,çayımda,çay,ım da
1805,çaylarım,çay,lar ım
1806,çaylarımda,çay,lar ım da
1807,su,su,
1808,sular,su,lar
1809,suda,su,da
1810,sudan,su,dan
1811,suyum,su,um
1812,suyumda,su,um da
